Report Date,Trading Date,Ticker,P/D Calc,P/D Display,P/D Result,P/D Year,P/D Quarter
3/17/2022,6/1/2020,AZAA,0.330645,0.33,Premium,2020,Q2-2020
3/17/2022,6/2/2020,AZAA,0.245885,0.25,Premium,2020,Q2-2020
3/17/2022,6/3/2020,AZAA,0.191004,0.19,Premium,2020,Q2-2020
3/17/2022,6/4/2020,AZAA,0.001583,0,NAV,2020,Q2-2020
3/17/2022,6/5/2020,AZAA,-0.123448,-0.12,Discount,2020,Q2-2020
3/17/2022,6/8/2020,AZAA,-0.068841,-0.07,Discount,2020,Q2-2020
3/17/2022,6/9/2020,AZAA,0.244267,0.24,Premium,2020,Q2-2020
3/17/2022,6/10/2020,AZAA,-0.101885,-0.1,Discount,2020,Q2-2020
3/17/2022,6/11/2020,AZAA,0.411316,0.41,Premium,2020,Q2-2020
3/17/2022,6/12/2020,AZAA,-0.387798,-0.39,Discount,2020,Q2-2020
3/17/2022,6/15/2020,AZAA,-0.10737,-0.11,Discount,2020,Q2-2020
3/17/2022,6/16/2020,AZAA,-0.792565,-0.79,Discount,2020,Q2-2020
3/17/2022,6/17/2020,AZAA,0.02154,0.02,Premium,2020,Q2-2020
3/17/2022,6/18/2020,AZAA,0.063061,0.06,Premium,2020,Q2-2020
3/17/2022,6/19/2020,AZAA,0.440582,0.44,Premium,2020,Q2-2020
3/17/2022,6/22/2020,AZAA,-0.126416,-0.13,Discount,2020,Q2-2020
3/17/2022,6/23/2020,AZAA,0.090732,0.09,Premium,2020,Q2-2020
3/17/2022,6/24/2020,AZAA,-0.469928,-0.47,Discount,2020,Q2-2020
3/17/2022,6/25/2020,AZAA,0.04431,0.04,Premium,2020,Q2-2020
3/17/2022,6/26/2020,AZAA,-0.177766,-0.18,Discount,2020,Q2-2020
3/17/2022,6/29/2020,AZAA,-0.268047,-0.27,Discount,2020,Q2-2020
3/17/2022,6/30/2020,AZAA,-0.137091,-0.14,Discount,2020,Q2-2020
3/17/2022,7/1/2020,AZAA,-0.1032,-0.1,Discount,2020,Q3-2020
3/17/2022,7/2/2020,AZAA,0.003544,0,NAV,2020,Q3-2020
3/17/2022,7/6/2020,AZAA,0.062249,0.06,Premium,2020,Q3-2020
3/17/2022,7/7/2020,AZAA,0.11066,0.11,Premium,2020,Q3-2020
3/17/2022,7/8/2020,AZAA,-0.029006,-0.03,Discount,2020,Q3-2020
3/17/2022,7/9/2020,AZAA,0.007472,0.01,Premium,2020,Q3-2020
3/17/2022,7/10/2020,AZAA,0.048934,0.05,Premium,2020,Q3-2020
3/17/2022,7/13/2020,AZAA,0.253758,0.25,Premium,2020,Q3-2020
3/17/2022,7/14/2020,AZAA,0.144162,0.14,Premium,2020,Q3-2020
3/17/2022,7/15/2020,AZAA,-0.088434,-0.09,Discount,2020,Q3-2020
3/17/2022,7/16/2020,AZAA,0.16097,0.16,Premium,2020,Q3-2020
3/17/2022,7/17/2020,AZAA,0.044339,0.04,Premium,2020,Q3-2020
3/17/2022,7/20/2020,AZAA,-0.071909,-0.07,Discount,2020,Q3-2020
3/17/2022,7/21/2020,AZAA,0.016232,0.02,Premium,2020,Q3-2020
3/17/2022,7/22/2020,AZAA,-0.023138,-0.02,Discount,2020,Q3-2020
3/17/2022,7/23/2020,AZAA,0.031443,0.03,Premium,2020,Q3-2020
3/17/2022,7/24/2020,AZAA,0.043618,0.04,Premium,2020,Q3-2020
3/17/2022,7/27/2020,AZAA,-0.038745,-0.04,Discount,2020,Q3-2020
3/17/2022,7/28/2020,AZAA,0.068397,0.07,Premium,2020,Q3-2020
3/17/2022,7/29/2020,AZAA,0.086282,0.09,Premium,2020,Q3-2020
3/17/2022,7/30/2020,AZAA,-0.310712,-0.31,Discount,2020,Q3-2020
3/17/2022,7/31/2020,AZAA,-0.119688,-0.12,Discount,2020,Q3-2020
3/17/2022,8/3/2020,AZAA,-0.018081,-0.02,Discount,2020,Q3-2020
3/17/2022,8/4/2020,AZAA,-0.039942,-0.04,Discount,2020,Q3-2020
3/17/2022,8/5/2020,AZAA,0.145772,0.15,Premium,2020,Q3-2020
3/17/2022,8/6/2020,AZAA,0.176433,0.18,Premium,2020,Q3-2020
3/17/2022,8/7/2020,AZAA,-0.000382,0,NAV,2020,Q3-2020
3/17/2022,8/10/2020,AZAA,0.040849,0.04,Premium,2020,Q3-2020
3/17/2022,8/11/2020,AZAA,0.113,0.11,Premium,2020,Q3-2020
3/17/2022,8/12/2020,AZAA,0.133058,0.13,Premium,2020,Q3-2020
3/17/2022,8/13/2020,AZAA,0.03698,0.04,Premium,2020,Q3-2020
3/17/2022,8/14/2020,AZAA,0.235848,0.24,Premium,2020,Q3-2020
3/17/2022,8/17/2020,AZAA,-0.042244,-0.04,Discount,2020,Q3-2020
3/17/2022,8/18/2020,AZAA,-0.012924,-0.01,Discount,2020,Q3-2020
3/17/2022,8/19/2020,AZAA,0.033895,0.03,Premium,2020,Q3-2020
3/17/2022,8/20/2020,AZAA,-0.015215,-0.02,Discount,2020,Q3-2020
3/17/2022,8/21/2020,AZAA,0.011399,0.01,Premium,2020,Q3-2020
3/17/2022,8/24/2020,AZAA,0.086782,0.09,Premium,2020,Q3-2020
3/17/2022,8/25/2020,AZAA,0.090871,0.09,Premium,2020,Q3-2020
3/17/2022,8/26/2020,AZAA,0.094464,0.09,Premium,2020,Q3-2020
3/17/2022,8/27/2020,AZAA,-0.166992,-0.17,Discount,2020,Q3-2020
3/17/2022,8/28/2020,AZAA,-0.012821,-0.01,Discount,2020,Q3-2020
3/17/2022,8/31/2020,AZAA,0.162946,0.16,Premium,2020,Q3-2020
3/17/2022,9/1/2020,AZAA,0.130461,0.13,Premium,2020,Q3-2020
3/17/2022,9/2/2020,AZAA,0.093564,0.09,Premium,2020,Q3-2020
3/17/2022,9/3/2020,AZAA,-0.043914,-0.04,Discount,2020,Q3-2020
3/17/2022,9/4/2020,AZAA,-0.006491,-0.01,Discount,2020,Q3-2020
3/17/2022,9/8/2020,AZAA,-0.111703,-0.11,Discount,2020,Q3-2020
3/17/2022,9/9/2020,AZAA,0.058273,0.06,Premium,2020,Q3-2020
3/17/2022,9/10/2020,AZAA,0.060172,0.06,Premium,2020,Q3-2020
3/17/2022,9/11/2020,AZAA,0.083799,0.08,Premium,2020,Q3-2020
3/17/2022,9/14/2020,AZAA,0.036145,0.04,Premium,2020,Q3-2020
3/17/2022,9/15/2020,AZAA,0.079805,0.08,Premium,2020,Q3-2020
3/17/2022,9/16/2020,AZAA,0.004566,0,NAV,2020,Q3-2020
3/17/2022,9/17/2020,AZAA,-0.115904,-0.12,Discount,2020,Q3-2020
3/17/2022,9/18/2020,AZAA,-0.087254,-0.09,Discount,2020,Q3-2020
3/17/2022,9/21/2020,AZAA,-0.102259,-0.1,Discount,2020,Q3-2020
3/17/2022,9/22/2020,AZAA,0.113595,0.11,Premium,2020,Q3-2020
3/17/2022,9/23/2020,AZAA,0.054642,0.05,Premium,2020,Q3-2020
3/17/2022,9/24/2020,AZAA,-0.028603,-0.03,Discount,2020,Q3-2020
3/17/2022,9/25/2020,AZAA,-0.072143,-0.07,Discount,2020,Q3-2020
3/17/2022,9/28/2020,AZAA,0.038579,0.04,Premium,2020,Q3-2020
3/17/2022,9/29/2020,AZAA,-0.136662,-0.14,Discount,2020,Q3-2020
3/17/2022,9/30/2020,AZAA,0.275234,0.28,Premium,2020,Q3-2020
3/17/2022,10/1/2020,AZAA,0.047255,0.05,Premium,2020,Q4-2020
3/17/2022,10/2/2020,AZAA,0.051229,0.05,Premium,2020,Q4-2020
3/17/2022,10/5/2020,AZAA,-0.03985,-0.04,Discount,2020,Q4-2020
3/17/2022,10/6/2020,AZAA,-0.011055,-0.01,Discount,2020,Q4-2020
3/17/2022,10/7/2020,AZAA,0.098146,0.1,Premium,2020,Q4-2020
3/17/2022,10/8/2020,AZAA,-0.077328,-0.08,Discount,2020,Q4-2020
3/17/2022,10/9/2020,AZAA,-0.088245,-0.09,Discount,2020,Q4-2020
3/17/2022,10/12/2020,AZAA,-0.102677,-0.1,Discount,2020,Q4-2020
3/17/2022,10/13/2020,AZAA,0.022461,0.02,Premium,2020,Q4-2020
3/17/2022,10/14/2020,AZAA,-0.03298,-0.03,Discount,2020,Q4-2020
3/17/2022,10/15/2020,AZAA,-0.065983,-0.07,Discount,2020,Q4-2020
3/17/2022,10/16/2020,AZAA,0.197239,0.2,Premium,2020,Q4-2020
3/17/2022,10/19/2020,AZAA,0,0,NAV,2020,Q4-2020
3/17/2022,10/20/2020,AZAA,0.143729,0.14,Premium,2020,Q4-2020
3/17/2022,10/21/2020,AZAA,-0.054565,-0.05,Discount,2020,Q4-2020
3/17/2022,10/22/2020,AZAA,0.133494,0.13,Premium,2020,Q4-2020
3/17/2022,10/23/2020,AZAA,0.057065,0.06,Premium,2020,Q4-2020
3/17/2022,10/26/2020,AZAA,-0.016254,-0.02,Discount,2020,Q4-2020
3/17/2022,10/27/2020,AZAA,0.122013,0.12,Premium,2020,Q4-2020
3/17/2022,10/28/2020,AZAA,0.013852,0.01,Premium,2020,Q4-2020
3/17/2022,10/29/2020,AZAA,0.264873,0.26,Premium,2020,Q4-2020
3/17/2022,10/30/2020,AZAA,-0.11986,-0.12,Discount,2020,Q4-2020
3/17/2022,11/2/2020,AZAA,-0.037041,-0.04,Discount,2020,Q4-2020
3/17/2022,11/3/2020,AZAA,0.267209,0.27,Premium,2020,Q4-2020
3/17/2022,11/4/2020,AZAA,-0.070876,-0.07,Discount,2020,Q4-2020
3/17/2022,11/5/2020,AZAA,0.009706,0.01,Premium,2020,Q4-2020
3/17/2022,11/6/2020,AZAA,-0.007082,-0.01,Discount,2020,Q4-2020
3/17/2022,11/9/2020,AZAA,0.051597,0.05,Premium,2020,Q4-2020
3/17/2022,11/10/2020,AZAA,-0.063061,-0.06,Discount,2020,Q4-2020
3/17/2022,11/11/2020,AZAA,0.057766,0.06,Premium,2020,Q4-2020
3/17/2022,11/12/2020,AZAA,0.02453,0.02,Premium,2020,Q4-2020
3/17/2022,11/13/2020,AZAA,-0.009611,-0.01,Discount,2020,Q4-2020
3/17/2022,11/16/2020,AZAA,-0.016973,-0.02,Discount,2020,Q4-2020
3/17/2022,11/17/2020,AZAA,0.025468,0.03,Premium,2020,Q4-2020
3/17/2022,11/18/2020,AZAA,0.09589,0.1,Premium,2020,Q4-2020
3/17/2022,11/19/2020,AZAA,0.055461,0.06,Premium,2020,Q4-2020
3/17/2022,11/20/2020,AZAA,0.074036,0.07,Premium,2020,Q4-2020
3/17/2022,11/23/2020,AZAA,0.021422,0.02,Premium,2020,Q4-2020
3/17/2022,11/24/2020,AZAA,0.032026,0.03,Premium,2020,Q4-2020
3/17/2022,11/25/2020,AZAA,-0.010303,-0.01,Discount,2020,Q4-2020
3/17/2022,11/27/2020,AZAA,0.18339,0.18,Premium,2020,Q4-2020
3/17/2022,11/30/2020,AZAA,-0.104423,-0.1,Discount,2020,Q4-2020
3/17/2022,12/1/2020,AZAA,0.061701,0.06,Premium,2020,Q4-2020
3/17/2022,12/2/2020,AZAA,0.089221,0.09,Premium,2020,Q4-2020
3/17/2022,12/3/2020,AZAA,0.043345,0.04,Premium,2020,Q4-2020
3/17/2022,12/4/2020,AZAA,0.082142,0.08,Premium,2020,Q4-2020
3/17/2022,12/7/2020,AZAA,-0.02896,-0.03,Discount,2020,Q4-2020
3/17/2022,12/8/2020,AZAA,-0.04065,-0.04,Discount,2020,Q4-2020
3/17/2022,12/9/2020,AZAA,0.135159,0.14,Premium,2020,Q4-2020
3/17/2022,12/10/2020,AZAA,-0.081753,-0.08,Discount,2020,Q4-2020
3/17/2022,12/11/2020,AZAA,-0.027561,-0.03,Discount,2020,Q4-2020
3/17/2022,12/14/2020,AZAA,0.09348,0.09,Premium,2020,Q4-2020
3/17/2022,12/15/2020,AZAA,0.013446,0.01,Premium,2020,Q4-2020
3/17/2022,12/16/2020,AZAA,-0.023407,-0.02,Discount,2020,Q4-2020
3/17/2022,12/17/2020,AZAA,-0.060511,-0.06,Discount,2020,Q4-2020
3/17/2022,12/18/2020,AZAA,-0.006132,-0.01,Discount,2020,Q4-2020
3/17/2022,12/21/2020,AZAA,0.00538,0.01,Premium,2020,Q4-2020
3/17/2022,12/22/2020,AZAA,0.038049,0.04,Premium,2020,Q4-2020
3/17/2022,12/23/2020,AZAA,0.058329,0.06,Premium,2020,Q4-2020
3/17/2022,12/24/2020,AZAA,-0.027201,-0.03,Discount,2020,Q4-2020
3/17/2022,12/28/2020,AZAA,0.027536,0.03,Premium,2020,Q4-2020
3/17/2022,12/29/2020,AZAA,0.047493,0.05,Premium,2020,Q4-2020
3/17/2022,12/30/2020,AZAA,0.029078,0.03,Premium,2020,Q4-2020
3/17/2022,12/31/2020,AZAA,0.051597,0.05,Premium,2020,Q4-2020
3/17/2022,1/4/2021,AZAA,0.066396,0.07,Premium,2021,Q1-2021
3/17/2022,1/5/2021,AZAA,0.127912,0.13,Premium,2021,Q1-2021
3/17/2022,1/6/2021,AZAA,-0.052751,-0.05,Discount,2021,Q1-2021
3/17/2022,1/7/2021,AZAA,0.119828,0.12,Premium,2021,Q1-2021
3/17/2022,1/8/2021,AZAA,-0.035776,-0.04,Discount,2021,Q1-2021
3/17/2022,1/11/2021,AZAA,0.093087,0.09,Premium,2021,Q1-2021
3/17/2022,1/12/2021,AZAA,0.15182,0.15,Premium,2021,Q1-2021
3/17/2022,1/13/2021,AZAA,0.176872,0.18,Premium,2021,Q1-2021
3/17/2022,1/14/2021,AZAA,0.146005,0.15,Premium,2021,Q1-2021
3/17/2022,1/15/2021,AZAA,0.122888,0.12,Premium,2021,Q1-2021
3/17/2022,1/19/2021,AZAA,0.17493,0.17,Premium,2021,Q1-2021
3/17/2022,1/20/2021,AZAA,0.144859,0.14,Premium,2021,Q1-2021
3/17/2022,1/21/2021,AZAA,0.111384,0.11,Premium,2021,Q1-2021
3/17/2022,1/22/2021,AZAA,0.130796,0.13,Premium,2021,Q1-2021
3/17/2022,1/25/2021,AZAA,0.006839,0.01,Premium,2021,Q1-2021
3/17/2022,1/26/2021,AZAA,0.155552,0.16,Premium,2021,Q1-2021
3/17/2022,1/27/2021,AZAA,0.654452,0.65,Premium,2021,Q1-2021
3/17/2022,1/28/2021,AZAA,0.083292,0.08,Premium,2021,Q1-2021
3/17/2022,1/29/2021,AZAA,0.072077,0.07,Premium,2021,Q1-2021
3/17/2022,2/1/2021,AZAA,0.041644,0.04,Premium,2021,Q1-2021
3/17/2022,2/2/2021,AZAA,-0.000761,0,NAV,2021,Q1-2021
3/17/2022,2/3/2021,AZAA,-0.068342,-0.07,Discount,2021,Q1-2021
3/17/2022,2/4/2021,AZAA,-0.01934,-0.02,Discount,2021,Q1-2021
3/17/2022,2/5/2021,AZAA,0.032617,0.03,Premium,2021,Q1-2021
3/17/2022,2/8/2021,AZAA,0.068999,0.07,Premium,2021,Q1-2021
3/17/2022,2/9/2021,AZAA,0.069377,0.07,Premium,2021,Q1-2021
3/17/2022,2/10/2021,AZAA,0.065953,0.07,Premium,2021,Q1-2021
3/17/2022,2/11/2021,AZAA,-0.047326,-0.05,Discount,2021,Q1-2021
3/17/2022,2/12/2021,AZAA,0.039357,0.04,Premium,2021,Q1-2021
3/17/2022,2/16/2021,AZAA,-0.266359,-0.27,Discount,2021,Q1-2021
3/17/2022,2/17/2021,AZAA,0.054882,0.05,Premium,2021,Q1-2021
